description,hashtags,likes,comments,reposts,type,links/tags,link
We are #hiring a Senior Technology Operations Engineerto join our Engineering Team at Quantropi Inc. Do you know anyone who fits the job description? Check out the link below !!!\n\nhttps://lnkd.in/eKhDbnBQ\n\nLily H Michael Redding Colin Osing James Nguyen Dafu Lou \n\n#Job #SeniorTechnologyOperationsEngineer #Recruiting #Engineering #Team #quantumsecurity #Quantropi #BringItOn,"['#hiring', '#Job', '#SeniorTechnologyOperationsEngineer', '#Recruiting', '#Engineering', '#Team', '#quantumsecurity', '#Quantropi', '#BringItOn']",13,0,3,Article,"['www.linkedin.com/company/quantropi/', 'lnkd.in/eKhDbnBQ', 'www.linkedin.com/in/ACoAACnorZUBvKq1esj2w0QENcbZmklD8h7fxlM', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAPzEg4BGOfCsdihrvhhWPTJpRLt0kfngHY']",https://www.linkedin.com/feed/update/urn:li:activity:7029540760064548865
"""Steal Now Crack Later"" just became ""Steal Now Crack Tomorrow"". The Y2Q Quantum Threat timeline has been shortened dramatically.\n\nA new factoring algorithm posted by Chinese researchers looks capable of breaking RSA-2048 encryption using only 372 physical qubits. IBM has already developed a 433 qubit computer (Osprey) and plans to have a 1000 qubit computer in 2023. This may also damage lattice-based PQC. Watch out! \n\nProtect your data, networks, and devices NOW with #QiSpace™\n\n#informationsecurity #communications #quantumcomputing #quantumcryptography #postquantumcryptography #pqc #quantumcommunications","['#QiSpace™', '#informationsecurity', '#communications', '#quantumcomputing', '#quantumcryptography', '#postquantumcryptography', '#pqc', '#quantumcommunications']",15,1,1,Article,[],https://www.linkedin.com/feed/update/urn:li:activity:7016098654369300480
A big shoutout to generous donors Jeffrey York and Lekadir LLP. \n\nAnd thanks to all who contributed towards Ottawa Regional Cancer Foundation's Fight For the Cure Campaign.  \n\n#FightForTheCure #FightAgainstCancer #BoxingCharityEvent #DonateNow ,"['#FightForTheCure', '#FightAgainstCancer', '#BoxingCharityEvent', '#DonateNow']",69,4,5,Image,"['www.linkedin.com/in/ACoAAAtMQa0BPkWDWvH1yCvO2zAMd7TRfKrA_zA', 'www.linkedin.com/company/lekadirllp/', 'www.linkedin.com/company/ottawacancer/', 'www.linkedin.com/in/ACoAABtJgsgBZNY6tpOdoky7IOn8arrFeWUs1DE']",https://www.linkedin.com/feed/update/urn:li:activity:6986739365389418496
"It’s time for organizations to start preparing for Y2Q! \n\nY2Q (“years to quantum” ) is an acronym coined to represent the approaching day zero for modern cryptographic security, the date when the primary methods used to secure communication over the internet become obsolete, and it’s coming soon.Recent breakthroughs using HYBRID ATTACK methods that incorporate AI &amp; Machine Learning have drastically reduced the quantum capabilities required for “Y2Q” – the day bad actors will be in a position to break today’s encryption. Meanwhile, the pace of quantum computing innovation is rapidly accelerating with advances in both qubit quantity and qubit quality. Combined with more efficient AI and Machine Learning hybrid attack methods, Y2Q could be just 1 – 3 years away. To know more, you can visit Quantropi Inc. ( 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 ) at #RSAC2023.",['#RSAC2023.'],16,0,4,Video,['www.linkedin.com/company/quantropi/'],https://www.linkedin.com/feed/update/urn:li:activity:7057005422574006272
Tech Talent Canada recently interviewed Quantropi CTO Michael Redding to learn more about what drew him out of retirement to join Quantropi Inc. and its mission to preserve truth and trust by defending the global digital economy from the Y2Q Quantum Threat!#quantumsecurity #cybersecurity #Y2Q #TrUE #QiSpace #datasecurity #cryptography #QuantumThreat #BringItOn #Quantropi,"['#quantumsecurity', '#cybersecurity', '#Y2Q', '#TrUE', '#QiSpace', '#datasecurity', '#cryptography', '#QuantumThreat', '#BringItOn', '#Quantropi']",6,0,0,Article,"['www.linkedin.com/company/tech-talent-canada/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/company/quantropi/']",https://www.linkedin.com/feed/update/urn:li:activity:6983812277770559488
"We're excited to announce that Eric Chan, our Associate Creative Director, has won the prestigious 𝗟𝗔𝗖 𝗦𝗰𝗵𝗼𝗹𝗮𝗿 𝗔𝘄𝗮𝗿𝗱 by Library and Archives Canada | Bibliothèque et Archives Canada for his remarkable contributions to Canadian culture and artistic heritage.\n\nJoin us in celebrating his achievement at the Canadian Museum of Nature, Ottawa - Tuesday, May 9th from 6 pm onwards.\n\nGet your tickets now!https://bit.ly/42ddjBh\n\n#LACScholar #EricChan #AwardWinner #JoinTheCelebration #Quantropi #BringItOn","['#LACScholar', '#EricChan', '#AwardWinner', '#JoinTheCelebration', '#Quantropi', '#BringItOn']",29,9,1,Image,"['www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE', 'www.linkedin.com/company/lac-bac/', 'www.linkedin.com/company/canadian-museum-of-nature/', 'bit.ly/42ddjBh']",https://www.linkedin.com/feed/update/urn:li:activity:7061388152925515777
"We recently ran a PQC poll and the results are in…\n\nThe majority of respondents (64%) believe that PQC will very likely be adopted within the next three years. This underlying fact here is that recent breakthroughs in AI and Machine Learning have drastically reduced the quantum capabilities required for “Y2Q” – the day bad actors will be able to break today’s encryption.\n\nLearn more about how Quantropi Inc.’s QiSpace™, the only TrUE Quantum-Secure suite of cryptographic products and quantum entropy services, protects your data, connected IoT devices, and communications against this looming Y2Q threat.\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",6,0,1,Image,['www.linkedin.com/company/quantropi/'],https://www.linkedin.com/feed/update/urn:li:activity:7063982670959013889
"#Breaking Quantropian's Michael Redding and Raj Narula P.Eng., were in The Hague today at ONE Conference discussing EU global cybersecurity challenges with other industry leaders. \n\nProtecting data, systems, products, and networks from the Y2Q Quantum Threat is mandatory, now and forever. 𝗤𝗶𝗦𝗽𝗮𝗰𝗲™ is the world’s first and only 𝗧𝗿𝗨𝗘 Quantum-Secure cryptography platform that provides all 3 prerequisites for end-to-end cybersecurity – 𝗧𝗿ust, 𝗨ncertainity, and 𝗘ntropy – “𝗧𝗿𝗨𝗘 ”. Learn more from our latest video: https://bit.ly/3RQwOue\n\n#QuantumSecurity #technology #quantumcryptography #cybersecurity #quantumsecurity #datasecurity #TrUE #oneconference #Y2Q #Quantropi #BringItOn","['#Breaking', '#QuantumSecurity', '#technology', '#quantumcryptography', '#cybersecurity', '#quantumsecurity', '#datasecurity', '#TrUE', '#oneconference', '#Y2Q', '#Quantropi', '#BringItOn']",6,0,0,Image,"['www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/company/one-conference/', 'bit.ly/3RQwOue']",https://www.linkedin.com/feed/update/urn:li:activity:6988163593322045441
"Thanks, Deloitte for hosting Quantropi Inc. at #PitchDay at Deloitte Greenhouse. We were honoured to share our TrUE Quantum-Secure products for the automotive / mobility industry. We look forward to hearing the results in November!\n\n#BringItOn #Quantropi #Y2Q #QuantamSecurity #TechnologyFast50ChallengeAward2022 #deloitte","['#PitchDay', '#BringItOn', '#Quantropi', '#Y2Q', '#QuantamSecurity', '#TechnologyFast50ChallengeAward2022', '#deloitte']",15,1,0,Image,"['www.linkedin.com/company/deloitte/', 'www.linkedin.com/company/quantropi/']",https://www.linkedin.com/feed/update/urn:li:activity:6976210482361683968
"Multiple bugs affecting millions of vehicles from 16 different manufacturers could be abused to unlock, start, and track cars, plus impact the privacy of car owners. Protect vehicles, systems, networks, and devices NOW with #QiSpace™ for IoT. \n\nLearn more about TrUE quantum-secure cryptography by submitting your QiSpace™ trial request today!https://bit.ly/3NzfiJF \n\n#Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurityhttp://bit.ly/3XyiNnd","['#QiSpace™', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurityhttp://bit.ly/3XyiNnd']",22,2,1,Article,['bit.ly/3NzfiJF'],https://www.linkedin.com/feed/update/urn:li:activity:7020806542723584000
"#Recap #IQTWebsiodesWithMike Catch up on the IQT Webisodes with Mike in case you missed it late last year! Hosted by Inside Quantum Technology and featuring several esteemed quantum security industry experts along with Michael Redding (CTO, Quantropi Inc.), catch the panel insights in this recent YouTube mini-series: 𝗜𝗤𝗧 𝗪𝗲𝗯𝗶𝘀𝗼𝗱𝗲𝘀 𝘄𝗶𝘁𝗵 𝗠𝗶𝗰𝗵𝗮𝗲𝗹 𝗥𝗲𝗱𝗱𝗶𝗻𝗴.https://bit.ly/3FMmCOA\n\n#TQI_Webinar #QuantumSecurity#Quantropi #BringItOn #Y2Q#technology#cryptography#quantumcryptography#Cybersecurity","['#Recap', '#IQTWebsiodesWithMike', '#TQI_Webinar', '#QuantumSecurity', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",11,0,0,Article,"['www.linkedin.com/company/iqt-inside-quantum-technology/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/company/quantropi/', 'bit.ly/3FMmCOA']",https://www.linkedin.com/feed/update/urn:li:activity:7017142763829817344
"#Recap #TQI_Webinar\n\nIn case you missed our Y2Q webinar for enterprises last year, here is your chance to catch up!  \n\nHosted by The Quantum Insider and featuring industry expert Brian Lenahan (Founder – Quantum Strategy Institute) and Michael Redding (CTO Quantropi Inc.), tune in to this Webinar 𝗣𝗿𝗲𝗽𝗮𝗿𝗶𝗻𝗴 𝗘𝗻𝘁𝗲𝗿𝗽𝗿𝗶𝘀𝗲𝘀 𝗳𝗼𝗿 𝗬𝟮𝗤 𝗮𝗻𝗱 𝘁𝗵𝗲 𝗤𝘂𝗮𝗻𝘁𝘂𝗺 𝗧𝗵𝗿𝗲𝗮𝘁 𝘁𝗼 𝗖𝗿𝘆𝗽𝘁𝗼𝗴𝗿𝗮𝗽𝗵𝘆.\n\nhttps://bit.ly/3GeUTaM\n\n#TQI_Webinar #QuantumSecurity#Quantropi #BringItOn #Y2Q#technology#cryptography#quantumcryptography#Cybersecurity","['#Recap', '#TQI_Webinar', '#TQI_Webinar', '#QuantumSecurity', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",20,1,3,Article,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow', 'www.linkedin.com/company/quantum-strategy-institute/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/company/quantropi/', 'bit.ly/3GeUTaM']",https://www.linkedin.com/feed/update/urn:li:activity:7016417989549862914
"Are you ready for a deep dive into Quantum- Secure communication? \n\nDon't miss out on the chance to hear Quantropi Inc.'s researcher Maria Perepechaenko present at #ICCCAS2023, Singapore!\n\nDiscover how to achieve FIPS Compliant Quantum Secure Communication using Quantum Permutation Pad on May 6th from 5:40 am - 5:55 am EST (5:40 pm - 5:55 pm SGT) \n\nRegister now to attend in-person or online: https://lnkd.in/e4UxYz93\n\nRandy Kuang James Nguyen\n\n#QuantumSecurity #PQC #QKD #Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity","['#ICCCAS2023,', '#QuantumSecurity', '#PQC', '#QKD', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",19,9,2,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAABZ0bB0BpvOHjF-CbZ0mIJP76augKGSv4aI', 'lnkd.in/e4UxYz93', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c']",https://www.linkedin.com/feed/update/urn:li:activity:7060500936812572673
"Catch Quantropi Inc.'s Co-Founder and Chief Scientist, Randy Kuang, on May 6th from 5:10 am EST (5:10 pm SGT) onwards, and learn how the displacement operator can perform quantum encryption in phase space for QPSK Data Modulation. #ICCCAS2023\n\nDon't miss to explore this incredible opportunity, register now to attend in-person or online: https://lnkd.in/e4UxYz93\n\nMaria Perepechaenko James Nguyen\n\n#PQC #QKD #Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity","['#ICCCAS2023', '#PQC', '#QKD', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",6,0,1,Image,"['www.linkedin.com/company/quantropi/', 'lnkd.in/e4UxYz93', 'www.linkedin.com/in/ACoAABZ0bB0BpvOHjF-CbZ0mIJP76augKGSv4aI', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c']",https://www.linkedin.com/feed/update/urn:li:activity:7060455638358728704
"Join us on May 6th from 4:30 am EST (4:30 pm SGT) onwards, as Quantropi Inc.'s Co-Founder and Chief Scientist, Randy Kuang, shares insights on the Generalized uncertainty principles and their potential in quantum cryptography. #ICCCAS2023\n\nDon't miss this opportunity, register now to attend in-person or online: https://lnkd.in/e4UxYz93\n\n#QuantumSecurity #PQC #QKD #Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity","['#ICCCAS2023', '#QuantumSecurity', '#PQC', '#QKD', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",18,0,3,Image,"['www.linkedin.com/company/quantropi/', 'lnkd.in/e4UxYz93']",https://www.linkedin.com/feed/update/urn:li:activity:7060429691643416576
"Exciting news in the world of quantum computing!\n\nA new breakthrough brings us one step closer to a quantum computer with billions of qubits. And with quantum computers, comes the imminent threat of the Y2Q. It’s critical now for every organization to begin transitioning today to a permanent post-quantum security posture. \n\nProtect your data, networks, systems and devices NOW with Quantropi Inc.'s #QiSpace™. Submit your QiSpace™ trial request today to get started!https://bit.ly/3NzfiJF\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technologyhttps://yhoo.it/3XNa8xd","['#QiSpace™.', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technologyhttps://yhoo.it/3XNa8xd']",21,0,1,Article,"['bit.ly/3NzfiJF', 'yhoo.it/3XNa8xd']",https://www.linkedin.com/feed/update/urn:li:activity:7022238109622800385
"In case you missed it, watch the full 1 hour WEBINAR now – Preparing Enterprises for Y2Q and the Quantum Threat to Cryptography. For CIOs, CTOs, CISOs, and cybersecurity professionals.\n\nHosted by The Quantum Insider with presenters Michael Redding, CTO Quantropi, and Brian Lenahan, Founder Quantum Strategy Institute.\n\n#quantum #community #security #quantumtechnology #Y2Q #QuantumThreat #BringItOn #Quantropi #cybersecurity ","['#quantum\u202f', '#community\u202f', '#security\u202f', '#quantumtechnology', '#Y2Q\u202f', '#QuantumThreat\u202f', '#BringItOn\u202f', '#Quantropi', '#cybersecurity']",12,0,6,Video,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow', 'www.linkedin.com/company/quantum-strategy-institute/']",https://www.linkedin.com/feed/update/urn:li:activity:6999100943464099840
"#Qi_Quotes By Quantropi Inc. \n\nWe're kicking things off this week with a quote from the National Research Council Canada / Conseil national de recherches Canada (NRCC) on the potential of  Quantum Cryptography to revolutionize the security of critical applications. \n\nProtect your data, connected IoT devices, and communications, now and forever with Quantropi Inc.’s #QiSpace™. Learn more: https://bit.ly/3NzfiJF \n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology ","['#Qi_Quotes', '#QiSpace™.', '#Quantropi\u202f', '#BringItOn\u202f', '#Y2Q\u202f', '#QuantumReadyBoard\u202f', '#informationsecurity\u202f', '#quantumcomputing\u202f', '#technology']",8,0,5,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/company/national-research-council/', 'www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF']",https://www.linkedin.com/feed/update/urn:li:activity:7063882683700928512
Quantropi Inc. joined DLS Technology Corporation and Wedge Networks as part of a cybersecurity pilot project to develop a quantum-secure remote workforce solution!  \n\nLearn how Quantropi Quantum-Secured a Remote Workforce VPN Solution \n\nComplete the simple form below and receive our case study now! https://bit.ly/3YD6Ga1\n\n#DLSTechnology#WedgeNetworks #CaseStudy#Quantropi#BringItOn,"['#DLSTechnology', '#WedgeNetworks', '#CaseStudy', '#Quantropi', '#BringItOn']",23,0,5,Article,"['www.linkedin.com/company/quantropi/', 'bit.ly/3YD6Ga1']",https://www.linkedin.com/feed/update/urn:li:activity:7014606058954395648
"Quantum computing and the cryptopocalypse: if you’re not worried about it, you should be. Y2Q could be here long before a quantum computer is able to crack Shor’s. New algorithms are emerging (most recently in Germany and China) that require a far less powerful quantum computer to crack encryption.\n\nThis blog post published on SecurityWeek Cyber Insights discusses the implications of quantum computers for cryptography. \n\nQuantropi Inc.’s QiSpace™ is the only Quantum Secure cryptographic platform with a fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services. It enables private and public organizations to protect data, networks, systems and IoT devices, now and forever.\n\nLearn More: https://lnkd.in/g79xH39y\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cybersecurityhttps://bit.ly/3YzCQm4","['#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cybersecurityhttps://bit.ly/3YzCQm4']",9,0,1,Article,"['www.linkedin.com/company/securityweek/', 'www.linkedin.com/company/quantropi/', 'lnkd.in/g79xH39y', 'bit.ly/3YzCQm4']",https://www.linkedin.com/feed/update/urn:li:activity:7031656086986260480
"#BreakingThe Government of Canada has committed $360 million to the National Quantum Strategy, enhancing Canada's existing global leadership in quantum research.\n\nIt's evident that quantum technologies will shape the course of the future. With Y2Q fast approaching, there is a need to begin transitioning today to a permanent post-quantum security posture.\n\nProtect your data, networks, and devices NOW with Quantropi Inc.'s #QiSpace™. Submit your QiSpace™ trial request today to get started!https://bit.ly/3NzfiJF\n\nhttps://bit.ly/3iD6B5W#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #quantumcryptography #postquantumcryptography #pqc #quantumcommunications","['#BreakingThe', '#QiSpace™.', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#quantumcryptography', '#postquantumcryptography', '#pqc', '#quantumcommunications']",22,1,1,Article,"['www.linkedin.com/company/government-of-canada/', 'www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF', 'bit.ly/3iD6B5W']",https://www.linkedin.com/feed/update/urn:li:activity:7019765902061572096
It has been our absolute pleasure &amp; good fortune to host Brian Lenahan – one of the most influential subject matter experts in the Quantum Technology &amp; Communication space. Our entire team was extremely thrilled to learn from him and &amp; get his perspective on Quantum excellence. We were especially excited for the opportunity to present our TrUE Quantum-secure cryptography solutions and get his valuable (and very positive) feedback. Thanks again Brian!\n\n#QuantumSecurity #BringItOn #Quantropi #Y2Q #quantumforbusiness #technology #cryptography #quantumcryptography #security,"['#QuantumSecurity', '#BringItOn', '#Quantropi', '#Y2Q', '#quantumforbusiness', '#technology', '#cryptography', '#quantumcryptography', '#security']",14,0,0,Image,['www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow'],https://www.linkedin.com/feed/update/urn:li:activity:6963905136129716224
"Join us to hear Quantropi Inc.'s researcher Maria Perepechaenko talk Quantum- Secure communication at #ICCCAS2023, Singapore!\n\nQuantum-secure Autonomous Factories: Hybrid TLS 1.3 for Inter- and Intra-Plant Communication on May 6th 10:55 pm-11:10 pm EST (May 7th from 10:55 am -11:10 am SGT)\n\nRegister now to attend in-person or online: https://lnkd.in/e4UxYz93\n\nRandy Kuang James Nguyen\n\n#QuantumSecurity #PQC #QKD #Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity","['#ICCCAS2023,', '#QuantumSecurity', '#PQC', '#QKD', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",10,2,1,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAABZ0bB0BpvOHjF-CbZ0mIJP76augKGSv4aI', 'lnkd.in/e4UxYz93', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c']",https://www.linkedin.com/feed/update/urn:li:activity:7060606638512066561
"""A full-scale quantum computer could crack our current encryption protocols, essentially breaking the Internet. Most online communications are protected by cryptographic keys that would take a conventional computer millions of years to decipher. A working quantum computer could presumably crack one in less than a day. That is only the beginning."" Make sure to checkout this fascinating article at the The New Yorker.\n\n#quantumcomputing #quantumsecurity #QiSpace™ ","['#quantumcomputing', '#quantumsecurity', '#QiSpace™']",23,1,4,Article,['www.linkedin.com/company/the-new-yorker/'],https://www.linkedin.com/feed/update/urn:li:activity:7014228537620541440
"IMHO our iconic swags are among the best in the game 🙌 And now, the highly anticipated Quantropi Inc. notebooks are here in time for RSAC™ 2023 April 24-27.\n\nDrop by and say hi at our RSA Conference booth N-5200. More ℹ️ https://lnkd.in/dv9j_BWA\n\n#quantumsecurity #quantumtech #cybersecurity #swagbag 🟪🤝","['#quantumsecurity', '#quantumtech', '#cybersecurity', '#swagbag']",12,2,2,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/company/rsa-conference/', 'lnkd.in/dv9j_BWA']",https://www.linkedin.com/feed/update/urn:li:activity:7049832757526503424
"Canada is one of the leading countries when it comes to research and the commercial aspects of quantum computing. Here are nearly two dozen Canadian quantum start-ups in the mix – Quantropi Inc., of course, made the list!\n\n#research #computing #quantumcomputing #postquantumcryptography #PQC #Y2Q #quantumthreat #Canada","['#research', '#computing', '#quantumcomputing', '#postquantumcryptography', '#PQC', '#Y2Q', '#quantumthreat', '#Canada']",15,2,0,Article,['www.linkedin.com/company/quantropi/'],https://www.linkedin.com/feed/update/urn:li:activity:7018259829332865024
"#EVENTS #CANSEC2023\n\nWe’re proud to be exhibiting for the second time at CANSEC 2023 – Canada’s largest global defence &amp; security show – from May 31st to June 1st. For CADSI members only! \n\nSecuring the battlefield and our communities from quantum and AI cyberattacks – visit 𝗕𝗼𝗼𝘁𝗵 𝗖𝗟𝟯𝟭 to learn how Quantropi Inc.’s Quantum-Secure cryptography and quantum entropy services can protect the IoT connected machine world, from drones to vehicles… aircraft and more.\n\nSchedule a meeting with us today! Learn more here - https://lnkd.in/eMBCNeB6\n\nJames Nguyen Randy Kuang Michael Redding Jay Toth Raj Narula, P.Eng. Nick Kuang Ken Dobell Colin Osing\n\n#Cansec2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #IoTSecurity #IoT","['#EVENTS', '#CANSEC2023', '#Cansec2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#IoTSecurity', '#IoT']",17,0,1,Image,"['www.linkedin.com/company/quantropi/', 'lnkd.in/eMBCNeB6', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4']",https://www.linkedin.com/feed/update/urn:li:activity:7062096524452737024
"gm☕️! As we prepare for RSAC™ 2023, here’s a sneak peek of Quantropi Inc. Icons of Cryptography Series II cards 👀 Details: 🔗 https://lnkd.in/dv9j_BWA",[],8,3,"<span dir=""ltr"">Eric Chan</span></span><span class=""visually-hidden"">Eric Chan</span>\n</span>\n<span class=""update-components-actor__supplementary-actor-info t-black--light t-14 t-normal ml1"">\n<span",Video,"['www.linkedin.com/company/quantropi/', 'lnkd.in/dv9j_BWA']",https://www.linkedin.com/feed/update/urn:li:activity:7049382649378848769
"#BREAKING: We are participating in a Webinar along with The Quantum Insider and Quantum Strategy Institute - Preparing for Y2Q and the Looming Quantum Threat to cybersecurity (November 2022). You’ll definitely want to attend this if you control enterprise security budgets or work in the cybersecurity space.\n\nRegister now: https://bit.ly/3BosAmh\n\nEvan Kubes, Brian Lenahan, Maria Perepechaenko Randy Kuang James Nguyen Michael Redding, Ken Dobell, Colin Osing Raj Narula P.Eng.,\n\n#quantum #community #security #registration #quantumtechnology #Y2Q #QuantumThreat #BringItOn #Quantropi","['#BREAKING:', '#quantum', '#community', '#security', '#registration', '#quantumtechnology', '#Y2Q', '#QuantumThreat', '#BringItOn', '#Quantropi']",10,0,0,Article,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/company/quantum-strategy-institute/', 'bit.ly/3BosAmh', 'www.linkedin.com/in/ACoAAAUsOQQBAukIR8mz2P2yBtTwdtLzWVcCamo', 'www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow', 'www.linkedin.com/in/ACoAABZ0bB0BpvOHjF-CbZ0mIJP76augKGSv4aI', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw']",https://www.linkedin.com/feed/update/urn:li:activity:6976576885820420096
